time,open,high,low,close,volume
1578546000000,140.0,139.84,140.0,139.84,10.851816710000001
1578546300000,139.77,139.82,139.82,139.62,55.24253618
1578546600000,139.78,139.73,139.79,139.73,19.626440199999998
1578546900000,139.78,139.69,139.78,139.68,0.3759007
1578547200000,139.71,139.57,139.71,139.57,6.67424744
1578547500000,139.57,139.04,139.57,138.99,120.7497261
1578547800000,138.97,138.90648944,138.9725683,138.79,1131.8024308
1578548100000,138.87,139.09,139.09,138.87,1.57427
1578548400000,139.21,139.45,139.45,139.21,303.99886816
1578548700000,139.49,139.16,139.49,139.16,0.51814259
1578549000000,139.14,139.21,139.35,139.14,13.23025974
1578549300000,139.25,139.2,139.25,139.2,0.6606579800000001
1578549600000,139.2,139.44,139.44360474,139.19264046,9.65581044
1578549900000,139.3,139.33,139.34,139.2990575,398.84497425
1578550200000,139.34,138.97,139.34,138.97,105.68651261
1578550500000,138.99,138.91,138.99,138.91,0.758171
1578550800000,139.21,139.68,139.69,139.21,75.47601461000001
1578551100000,139.62,139.69,139.69,139.62,7.17714124
1578551400000,139.67,139.71,139.71,139.67,14.61552253
1578551700000,139.71,139.6,139.71,139.6,4.16552811
1578552000000,139.53,139.67,139.7,139.52,172.35474277
1578552300000,139.69,139.59375399,139.71,139.55,89.57858750000001
1578552600000,139.68265305,139.53,139.68265305,139.44,9.81287642
1578553200000,139.50309969,139.71,139.71,139.49198833,200.0852986
1578553500000,139.78,139.92,139.93,139.78,9.19427034
1578553800000,139.77597107,139.77,139.77597107,139.77,1.1
1578554100000,139.79,139.82,139.82,139.79,34.0
1578554400000,139.97,140.13,140.15,139.97,3.834
1578554700000,140.14,140.15,140.15,140.14,28.4250419
1578555000000,140.15305598,140.15,140.16,140.15,7.09527282
1578555300000,140.15450478,140.15,140.16,140.15,32.73445847
1578555600000,140.15585236,140.16,140.16691514,140.15,20.47620477
1578555900000,140.15579732,140.19,140.2,140.15579732,69.19689913
1578556200000,140.19,140.14161949,140.19,140.14,4.08996596
1578556500000,140.14,139.8,140.14,139.76,13.90908131
1578556800000,139.8,139.85796316,139.86848382,139.79,25.36114972
1578557400000,139.92,139.94,140.06644992,139.92,10.4913641
1578557700000,139.94356903,139.94301831,139.94356903,139.94301831,3.07457675
1578558000000,139.95,139.95,139.95,139.94301831,11.52633735
1578558300000,139.94334318,139.8,139.95,139.8,9.20763073
1578558600000,139.800238,139.81,139.89432922,139.79,33.356341
1578558900000,139.87,139.81,139.87,139.81,16.66504756
1578559200000,139.81,139.79,139.81,139.79,39.71969817
1578559500000,139.79,139.28,139.8,139.28,127.87250801
1578559800000,139.28,139.21,139.28,139.19,2.1113719300000002
1578560100000,139.23,139.45,139.46,139.23,15.81136245
1578560400000,139.46,138.33,139.46,138.21,1468.87183374
1578560700000,138.45,138.45,138.45073032,138.05,429.65875163
1578561000000,138.39,138.75518315,138.88,138.39,149.53128608
1578561300000,138.69,138.3,138.69,138.3,9.33432688
1578561600000,138.38,138.52,138.52,138.38,10.657291
1578561900000,138.51231279,138.4,138.51231279,138.4,12.566699139999999
1578562200000,138.47,138.58,138.58989716,138.47,35.03087725
1578562500000,138.57,138.35,138.64829626,138.35,1033.26243052
1578562800000,138.61496201,138.69,138.69122883,138.61,27.66982016
1578563100000,138.69,138.46,138.69569319,138.38,53.92474184
1578563400000,138.46,138.42,138.46,138.36207831,70.89233727999999
1578563700000,138.51,138.54,138.55,138.51,41.99469054
1578564000000,138.54,138.11590514,138.54,138.0,187.72750287
1578564300000,138.44958176,138.61847714,138.62,138.44,175.50331760999998
1578564600000,138.62,138.67076232,138.6874872,138.61,34.82489869
1578564900000,138.68,138.93,139.02,138.68,86.28428681
1578565200000,138.94,139.01,139.02,138.94,70.68834466
1578565500000,138.85,138.85,138.85,138.85,0.12164545
1578565800000,138.91,138.91479051,138.91479051,138.91,20.933750019999998
1578566100000,139.0,138.85,139.01,138.85,15.47015268
1578566400000,138.9,138.6,138.9,138.58,48.15908965
1578566700000,138.6,138.59,138.62,138.54,12.38540992
1578567000000,138.62,138.51,138.62,138.48,31.60018922
1578567300000,138.47,138.86,138.8608065,138.4,0.59580318
1578567600000,138.73,138.74,138.76,138.73,46.20321715
1578567900000,138.74119119,138.47,138.74119119,138.47,19.75365406
1578568200000,138.65,138.48581139,138.65,138.41164727,58.081931110000006
1578568500000,138.48581139,138.63,138.65247435,138.48581139,33.23297365
1578568800000,138.55,138.3,138.55,138.13,184.8688834
1578569100000,138.4,138.35,138.4,138.35,1.65419697
1578569400000,138.25,138.28,138.31,138.25,14.853389720000001
1578569700000,138.27659708,138.24,138.27659708,138.24,7.4493602800000005
1578570000000,138.27305849,138.05,138.27305849,138.03,25.38890409
1578570300000,138.04324905,138.00063216,138.06546214,138.0,155.80373216
1578570600000,138.0,138.08,138.08,138.0,42.17679284
1578570900000,138.16,138.19,138.23,138.1,3.53351059
