Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,111.38999938964844,111.44000244140625,107.3499984741211,109.33000183105469,100.45429992675781,53204600
2015-01-05,108.29000091552734,108.6500015258789,105.41000366210938,106.25,97.62433624267578,64285500
2015-01-06,106.54000091552734,107.43000030517578,104.62999725341797,106.26000213623047,97.633544921875,65797100
2015-01-07,107.19999694824219,108.19999694824219,106.69999694824219,107.75,99.00255584716797,40105900
2015-01-08,109.2300033569336,112.1500015258789,108.69999694824219,111.88999938964844,102.80648040771484,59364500
2015-01-09,112.66999816894531,113.25,110.20999908447266,112.01000213623047,102.9167251586914,53699500
2015-01-12,112.5999984741211,112.62999725341797,108.80000305175781,109.25,100.38079071044922,49650800
2015-01-13,111.43000030517578,112.80000305175781,108.91000366210938,110.22000122070312,101.27204895019531,67091900
2015-01-14,109.04000091552734,110.48999786376953,108.5,109.80000305175781,100.88615417480469,48956600
2015-01-15,110.0,110.05999755859375,106.66000366210938,106.81999969482422,98.14805603027344,60014000
2015-01-16,107.02999877929688,107.58000183105469,105.19999694824219,105.98999786376953,97.38544464111328,78513300
2015-01-20,107.83999633789062,108.97000122070312,106.5,108.72000122070312,99.8938217163086,49899900
2015-01-21,108.94999694824219,111.05999755859375,108.2699966430664,109.55000305175781,100.65644073486328,48575900
2015-01-22,110.26000213623047,112.47000122070312,109.72000122070312,112.4000015258789,103.27506256103516,53796400
2015-01-23,112.30000305175781,113.75,111.52999877929688,112.9800033569336,103.80799102783203,46464800
2015-01-26,113.73999786376953,114.36000061035156,112.80000305175781,113.0999984741211,103.91822814941406,55615000
2015-01-27,112.41999816894531,112.4800033569336,109.02999877929688,109.13999938964844,100.27971649169922,95568700
2015-01-28,117.62999725341797,118.12000274658203,115.30999755859375,115.30999755859375,105.94882202148438,146477100
2015-01-29,116.31999969482422,119.19000244140625,115.55999755859375,118.9000015258789,109.24739074707031,84436400
2015-01-30,118.4000015258789,120.0,116.8499984741211,117.16000366210938,107.64864349365234,83745500
2015-02-02,118.05000305175781,119.16999816894531,116.08000183105469,118.62999725341797,108.99929809570312,62739100
2015-02-03,118.5,119.08999633789062,117.61000061035156,118.6500015258789,109.01765441894531,51915700
2015-02-04,118.5,120.51000213623047,118.30999755859375,119.55999755859375,109.85380554199219,70149700
2015-02-05,120.0199966430664,120.2300033569336,119.25,119.94000244140625,110.63788604736328,42246200
2015-02-06,120.0199966430664,120.25,118.44999694824219,118.93000030517578,109.7061996459961,43706600
2015-02-09,118.55000305175781,119.83999633789062,118.43000030517578,119.72000122070312,110.43494415283203,38889800
2015-02-10,120.16999816894531,122.1500015258789,120.16000366210938,122.0199966430664,112.55655670166016,62008500
2015-02-11,122.7699966430664,124.91999816894531,122.5,124.87999725341797,115.19474792480469,73561800
2015-02-12,126.05999755859375,127.4800033569336,125.56999969482422,126.45999908447266,116.6521987915039,74474500
2015-02-13,127.27999877929688,127.27999877929688,125.6500015258789,127.08000183105469,117.22412109375,54272200
2015-02-17,127.48999786376953,128.8800048828125,126.91999816894531,127.83000183105469,117.91596221923828,63152400
2015-02-18,127.62999725341797,128.77999877929688,127.44999694824219,128.72000122070312,118.73694610595703,44891700
2015-02-19,128.47999572753906,129.02999877929688,128.3300018310547,128.4499969482422,118.48786926269531,37362400
2015-02-20,128.6199951171875,129.5,128.0500030517578,129.5,119.4564437866211,48948400
